 
 Mamão verde. doce em calda. drenado;209.38;0.32;0.1;57.64
 Mamão. doce em calda. drenado;195.63;0.19;0.07;54
Abacate. cru;96.15;1.24;8.4;6.03
Abacaxi. cru;48.32;0.86;0.12;12.33
Abacaxi. polpa. congelada;30.59;0.47;0.11;7.8
Abadejo. filé. congelado. cru;59.11;13.08;0.36;0
Abiu. cru;62.42;0.83;0.7;14.93
Abóbora. cabotian. crua;38.6;1.75;0.54;8.36
Abóbora. menina brasileira. crua;13.61;0.61;0;3.3
Abóbora. moranga. crua;12.36;0.96;0.06;2.67
Abóbora. pescoço. crua;24.47;0.67;0.12;6.12
Abobrinha. italiana. crua;19.28;1.14;0.14;4.29
Abobrinha. paulista. crua;30.81;0.64;0.14;7.87
Açaí. polpa. com xarope de guaraná e glucose;110.3;0.72;3.66;21.46
Açaí. polpa. congelada;58.05;0.8;3.94;6.21
Acelga. crua;20.94;1.44;0.11;4.63
Acerola. crua;33.46;0.91;0.21;7.97
Acerola. polpa. congelada;21.94;0.59;0;5.54
Achocolatado. pó;401.02;4.2;2.17;91.18
Açucar. cristal;386.85;0.32;0;99.61
Açucar. mascavo;368.55;0.76;0.09;94.45
Açucar. refinado;386.57;0.32;0;99.54
Agrião. cru;16.58;2.69;0.24;2.25
Aipo. cru;19.09;0.76;0.07;4.27
Alface. americana. crua;8.79;0.61;0.13;1.75
Alface. crespa. crua;10.68;1.35;0.16;1.7
Alface. lisa. crua;13.82;1.69;0.12;2.43
Alface. roxa. crua;12.72;0.91;0.19;2.49
Alfavaca. crua;29.18;2.66;0.48;5.24
Alho. cru;113.13;7.01;0.22;23.91
Alho-poró. cru;31.51;1.41;0.14;6.88
Almeirão. cru;18.03;1.77;0.22;3.34
Ameixa. calda. enlatada ;182.85;0.41;0;46.89
Ameixa. crua;52.54;0.77;0;13.85
Ameixa. em calda. enlatada. drenada ;177.36;1.03;0.28;47.66
Amêndoa. torrada. salgada;580.75;18.55;47.32;29.55
Amendoim. grão. cru;544.05;27.19;43.85;20.31
Amendoim. torrado. salgado;605.78;22.48;53.96;18.7
Apresuntado;128.86;13.45;6.69;2.86
Arroz. integral. cru;359.68;7.32;1.86;77.45
Arroz. tipo 1. cru;357.79;7.16;0.34;78.76
Arroz. tipo 2. cru;358.12;7.24;0.28;78.88
Atemóia. crua;96.97;0.97;0.3;25.33
Atum. conserva em óleo;165.91;26.19;6;0
Atum. fresco. cru;117.5;25.68;0.87;0
Aveia. flocos. crua;393.82;13.92;8.5;66.64
Azeite. de dendê;884;0;100;0
Azeite. de oliva. extra virgem;884;0;100;0
Azeitona. preta. conserva;194.15;1.16;20.35;5.54
Azeitona. verde. conserva;136.94;0.95;14.22;4.1
Bacalhau. salgado. cru;135.89;29.04;1.32;0
Banana. da terra. crua;128.02;1.43;0.24;33.67
Banana. figo. crua;105.08;1.13;0.14;27.8
Banana. maçã. crua;86.81;1.75;0.06;22.34
Banana. nanica. crua;91.53;1.4;0.12;23.85
Banana. ouro. crua;112.37;1.48;0.21;29.34
Banana. pacova. crua;77.91;1.23;0.08;20.31
Banana. prata. crua;98.25;1.27;0.07;25.96
